student_id,age,gender,department,attendance,previous_gpa,study_hours,assignment_score,ca_score,semester_result,performance_category
ST0001,27,Male,Computer Science,58.9,2.57,3.1,59.0,73.1,54.2,Medium
ST0002,28,Female,Medicine,67.9,2.77,6.1,70.8,70.0,78.6,Medium
ST0003,25,Male,Economics,64.2,3.5,4.2,59.2,58.8,55.8,Medium
ST0004,22,Female,Accounting,94.6,3.43,10.3,94.2,77.1,84.4,High
ST0005,18,Female,Law,58.7,2.5,1.2,49.5,18.5,32.0,Low
ST0006,29,Female,Economics,62.7,2.9,7.0,67.0,61.9,68.0,Medium
ST0007,24,Female,Education,65.5,2.07,6.0,75.7,58.6,67.5,Medium
ST0008,29,Female,Medicine,88.4,3.1,5.2,46.0,57.5,49.6,Medium
ST0009,25,Male,Law,89.0,3.77,9.1,95.6,75.0,79.6,High
ST0010,19,Male,Medicine,44.7,1.88,1.4,31.7,21.1,37.0,Low
ST0011,26,Male,Education,53.0,1.17,1.5,31.0,41.8,54.1,Low
ST0012,23,Female,Law,94.6,3.43,10.7,77.4,88.3,78.7,High
ST0013,19,Male,Economics,85.7,3.63,10.5,81.3,77.0,69.0,High
ST0014,23,Female,Accounting,60.2,3.13,2.6,72.3,66.9,62.2,Medium
ST0015,18,Male,Accounting,53.7,1.59,0.9,44.1,28.0,11.5,Low
ST0016,18,Female,Law,87.2,2.6,6.0,60.3,72.3,69.6,Medium
ST0017,24,Female,Computer Science,74.1,3.1,5.8,68.4,60.6,50.6,Medium
ST0018,23,Female,Education,74.4,3.41,14.4,78.1,64.3,83.9,High
ST0019,26,Female,Medicine,57.7,2.32,4.8,31.1,26.7,24.9,Low
ST0020,25,Male,Medicine,58.3,2.14,0.0,31.7,16.0,52.1,Low
ST0021,29,Male,Engineering,80.1,4.0,8.5,72.3,72.3,74.6,High
ST0022,21,Female,Economics,76.7,3.96,8.7,76.3,88.9,68.5,High
ST0023,27,Male,Engineering,90.9,2.62,4.9,50.5,60.1,53.2,Medium
ST0024,23,Male,Engineering,61.0,2.66,1.4,58.5,59.1,60.3,Medium
ST0025,18,Male,Law,56.6,2.21,6.1,41.6,61.8,46.2,Medium
ST0026,28,Female,Medicine,49.4,2.5,0.4,29.5,22.9,27.6,Low
ST0027,19,Female,Business Admin,63.5,0.99,1.7,26.7,35.5,65.0,Low
ST0028,28,Female,Law,74.9,3.16,8.9,73.3,55.5,45.2,Medium
ST0029,17,Female,Computer Science,75.8,3.67,9.5,96.2,77.1,80.2,High
ST0030,26,Male,Business Admin,70.8,2.33,5.0,65.9,62.6,68.5,Medium
ST0031,19,Female,Business Admin,78.4,2.51,5.5,37.8,85.0,55.3,Medium
ST0032,24,Male,Education,83.9,2.67,5.8,76.9,71.7,56.0,Medium
ST0033,28,Female,Economics,95.1,3.84,9.2,90.6,91.4,88.5,High
ST0034,29,Female,Law,54.5,2.5,1.8,35.7,30.6,40.3,Low
ST0035,18,Male,Economics,91.7,3.75,9.7,87.4,78.2,71.0,High
ST0036,18,Female,Economics,91.8,3.04,11.2,97.0,74.3,80.7,High
ST0037,19,Female,Education,60.3,2.77,7.0,74.4,64.3,54.6,Medium
ST0038,21,Male,Business Admin,84.2,3.39,9.1,79.3,81.4,87.6,High
ST0039,20,Female,Engineering,98.9,3.21,4.0,83.5,94.4,87.9,High
ST0040,29,Female,Economics,80.1,2.41,6.0,67.1,70.6,85.0,Medium
ST0041,28,Male,Computer Science,87.8,3.07,7.6,78.7,75.8,79.2,High
ST0042,29,Female,Computer Science,88.0,3.6,8.3,83.2,86.6,71.1,High
ST0043,29,Male,Education,77.2,3.35,8.0,89.0,82.1,79.5,High
ST0044,27,Female,Accounting,91.1,3.57,9.5,77.3,60.5,76.9,High
ST0045,19,Female,Law,81.7,3.29,5.2,64.0,53.8,54.8,Medium
